,0
time_limit_sec,124.1943532758735
unique_word_ratio,32.10196901816918
memory_limit_mb,20.078254029788262
statement_length_words,15.69299363149156
num_numeric_tokens,13.709404587916147
num_lessequal,12.036277088283967
num_equals,5.342575836616952
digit_count,4.60873955637193
statement_length_chars,4.17609072930648
sentence_count,3.3387865646012074
avg_sentence_length_words,2.6752318739180154
punctuation_ratio,2.4347277037839774
avg_word_length,1.8976713516797403
uppercase_ratio,1.871297443669306
example_count,0.6589434879799256
math_symbol_count,0.26674206923134847
digit_ratio,0.07313979130592685
num_greaterequal,0.0271521172677609
